timestamp : 1630941824.947990 from  G  process , received message :0.000.
timestamp : 0.000000 from P process, sent token : 12.560.

timestamp : 1630941824.997640 from  G  process , received message :12.560.
timestamp : 1630941824.979000 from P process, sent token : -965.573.

timestamp : 1630941824.104381 from  G  process , received message :-965.573.
timestamp : 1630941824.104189 from P process, sent token : -5855988.310.

timestamp : 1630941824.108839 from  G  process , received message :-5855988.310.
timestamp : 1630941824.107598 from P process, sent token : -215357528099157.656.

timestamp : 1630941824.113238 from  G  process , received message :-215357528099157.656.
timestamp : 1630941824.110986 from P process, sent token : -291259271628391321879565041664.000.

timestamp : 1630941824.118343 from  G  process , received message :-291259271628391321879565041664.000.
timestamp : 1630941824.115585 from P process, sent token : -532744729583666547419107886178407999723810332867163817246720.000.

timestamp : 1630941824.122972 from  G  process , received message :-532744729583666547419107886178407999723810332867163817246720.000.
timestamp : 1630941824.121040 from P process, sent token : -1782370426526812914623137209198597977802125016364525886795844371416863976095477237172444851639069448045213505125286412288.000.

timestamp : 1630941824.123690 from  G  process , received message :-1782370426526812914623137209198597977802125016364525886795844371416863976095477237172444851639069448045213505125286412288.000.
timestamp : 1630941824.123287 from P process, sent token : -19950582438604303498653473442507336423504697598836467278387944775882730091870665518434313619401755739354816196181412268190082303403381364860490604554802567582506013017594429447140108645983595594985432011842767199570774815662674763956493484032.000.

timestamp : 1630941824.130245 from  G  process , received message :-19950582438604303498653473442507336423504697598836467278387944775882730091870665518434313619401755739354816196181412268190082303403381364860490604554802567582506013017594429447140108645983595594985432011842767199570774815662674763956493484032.000.
timestamp : 1630941824.126689 from P process, sent token : -inf.

timestamp : 1630941824.136755 from  G  process , received message :-inf.
timestamp : 1630941824.129973 from P process, sent token : -inf.

timestamp : 1630941824.135869 from  G  process , received message :-inf.
timestamp : 1630941824.132462 from P process, sent token : -inf.

timestamp : 1630941824.136578 from  G  process , received message :-inf.
timestamp : 1630941824.136228 from P process, sent token : -inf.

timestamp : 1630941824.144009 from  G  process , received message :-inf.
timestamp : 1630941824.139185 from P process, sent token : -inf.

timestamp : 1630942208.352423 from  G  process , received message :0.000.
timestamp : 0.000000 from P process, sent token : 12.560.

timestamp : 1630942208.357692 from  G  process , received message :12.560.
timestamp : 1630942208.357788 from P process, sent token : -965.573.

timestamp : 1630942208.365141 from  G  process , received message :-965.573.
timestamp : 1630942208.364921 from P process, sent token : -5855988.310.

timestamp : 1630942208.368909 from  G  process , received message :-5855988.310.
timestamp : 1630942208.368410 from P process, sent token : -215357528099157.656.

timestamp : 1630942208.371611 from  G  process , received message :-215357528099157.656.
timestamp : 1630942208.371245 from P process, sent token : -291259271628391321879565041664.000.

timestamp : 1630942208.374802 from  G  process , received message :-291259271628391321879565041664.000.
timestamp : 1630942208.374686 from P process, sent token : -532744729583666547419107886178407999723810332867163817246720.000.

timestamp : 1630942208.378332 from  G  process , received message :-532744729583666547419107886178407999723810332867163817246720.000.
timestamp : 1630942208.377353 from P process, sent token : -1782370426526812914623137209198597977802125016364525886795844371416863976095477237172444851639069448045213505125286412288.000.

timestamp : 1630942208.384039 from  G  process , received message :-1782370426526812914623137209198597977802125016364525886795844371416863976095477237172444851639069448045213505125286412288.000.
timestamp : 1630942208.383139 from P process, sent token : -19950582438604303498653473442507336423504697598836467278387944775882730091870665518434313619401755739354816196181412268190082303403381364860490604554802567582506013017594429447140108645983595594985432011842767199570774815662674763956493484032.000.

timestamp : 1630942208.388385 from  G  process , received message :-19950582438604303498653473442507336423504697598836467278387944775882730091870665518434313619401755739354816196181412268190082303403381364860490604554802567582506013017594429447140108645983595594985432011842767199570774815662674763956493484032.000.
timestamp : 1630942208.386680 from P process, sent token : -inf.

timestamp : 1630942208.392345 from  G  process , received message :-inf.
timestamp : 1630942208.391109 from P process, sent token : -inf.

timestamp : 1630942208.396020 from  G  process , received message :-inf.
timestamp : 1630942208.393328 from P process, sent token : -inf.

timestamp : 1630942208.399381 from  G  process , received message :-inf.
timestamp : 1630942208.397365 from P process, sent token : -inf.

timestamp : 1630942208.402775 from  G  process , received message :-inf.
timestamp : 1630942208.402675 from P process, sent token : -inf.

timestamp : 1630942208.407770 from  G  process , received message :-inf.
timestamp : 1630942208.405105 from P process, sent token : -inf.

timestamp : 1630942208.409489 from  G  process , received message :-inf.
timestamp : 1630942208.408555 from P process, sent token : -inf.

timestamp : 1630942208.412280 from  G  process , received message :-inf.
timestamp : 1630942208.411336 from P process, sent token : -inf.

timestamp : 1630942208.417969 from  G  process , received message :-inf.
timestamp : 1630942208.415901 from P process, sent token : -inf.

timestamp : 1630942208.845698 .
From S process signal: .

timestamp : 1630942208.537787 .
From S process signal: .

timestamp : 1630942208.426982 from  G  process , received message :-inf.
timestamp : 1630942208.425615 from P process, sent token : -inf.

timestamp : 1630942208.540612 from  G  process , received message :-inf.
timestamp : 1630942208.540051 from P process, sent token : -inf.

timestamp : 1630942208.548261 from  G  process , received message :-inf.
timestamp : 1630942208.546814 from P process, sent token : -inf.

timestamp : 1630942208.653546 .
From S process signal: .

